cid,cname,O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,PctVotes
3,COOCHBEHAR UTTAR,6,SAMARESH RAY,Kamatapur People’s Party (United),1110,17,1127,0.46
3,COOCHBEHAR UTTAR,7,NARESH CHANDRA ROY,Independent,1374,5,1379,0.57
3,COOCHBEHAR UTTAR,8,NOTA,None of the Above,1555,15,1570,0.64
4,Cooch Behar Dakshin,1,Akshay Thakur,All India Forward Bloc,9928,318,10246,5.24
4,Cooch Behar Dakshin,2,Avijit De Bhowmik,All India Trinamool Congress,85620,1009,86629,44.31
4,Cooch Behar Dakshin,3,Khokan Majumdar,Bahujan Samaj Party,1415,4,1419,0.73
4,Cooch Behar Dakshin,4,Nikhil Ranjan Dey,Bharatiya Janata Party,89966,1594,91560,46.83
4,Cooch Behar Dakshin,5,Nazma Khandakar,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1124,14,1138,0.58
4,Cooch Behar Dakshin,6,Babla Deb,Amra Bangalee,326,3,329,0.17
4,Cooch Behar Dakshin,7,Anamika Paul,Independent,728,11,739,0.38
4,Cooch Behar Dakshin,8,Bidhan Barma,Independent,493,3,496,0.25
4,Cooch Behar Dakshin,9,Rati Ranjan Paul,Independent,1480,5,1485,0.76
4,Cooch Behar Dakshin,10,NOTA,None of the Above,1436,28,1464,0.75
5,Sitalkuchi,1,Partha Pratim Ray,All India Trinamool Congress,106527,613,107140,43.56
5,Sitalkuchi,2,Baren Chandra Barman,Bharatiya Janata Party,124120,835,124955,50.8
5,Sitalkuchi,3,Sudhangshu Pramanik,Communist Party of India  (Marxist),6622,98,6720,2.73
5,Sitalkuchi,4,Kamal Barman,Amra Bangalee,719,2,721,0.29
5,Sitalkuchi,5,Jagadish Adhikari,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),691,2,693,0.28
5,Sitalkuchi,6,Manik Chandra Barman,Kamatapur People’s Party (United),970,6,976,0.4
5,Sitalkuchi,7,Hare Krishna Sarkar,Independent,2018,0,2018,0.82
5,Sitalkuchi,8,NOTA,None of the Above,2738,5,2743,1.12
6,Sitai,1,KESHAB CHANDRA RAY,Indian National Congress,3900,64,3964,1.66
6,Sitai,2,JAGADISH CHANDRA BARMA BASUNIA,All India Trinamool Congress,116850,1058,117908,49.42
6,Sitai,3,DIPAK KUMAR ROY,Bharatiya Janata Party,106723,1073,107796,45.18
6,Sitai,4,ANIL CHANDRA BARMAN ROY,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1371,10,1381,0.58
6,Sitai,5,PROSHANTA BARMAN,Lok Jan Shakti Party,548,2,550,0.23
6,Sitai,6,PRASANNA KUMAR ROY,Amra Bangalee,364,5,369,0.15
6,Sitai,7,KASHIKANTA BARMAN,Independent,862,4,866,0.36
6,Sitai,8,LALCHAND BARMAN,Independent,1773,3,1776,0.74
6,Sitai,9,SUNIL MAHANTA,Independent,2387,4,2391,1
6,Sitai,10,NOTA,None of the Above,1564,13,1577,0.66
7,Dinhata,1,ABDUR ROUF,All India Forward Bloc,5916,153,6069,2.49
7,Dinhata,2,UDAYAN GUHA,All India Trinamool Congress,114887,1091,115978,47.58
7,Dinhata,3,NISITH PRAMANIK,Bharatiya Janata Party,114361,1674,116035,47.6
7,Dinhata,4,PRADIP ROY,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1364,11,1375,0.56
7,Dinhata,5,NIRMAL CHANDRA BARMAN,Independent,1361,9,1370,0.56
7,Dinhata,6,LEBU MIYAN,Independent,1386,1,1387,0.57
7,Dinhata,7,NOTA,None of the Above,1515,22,1537,0.63
8,Natabari,1,Akik Hassan,Communist Party of India  (Marxist),11584,255,11839,5.45
8,Natabari,2,Mihir Goswami,Bharatiya Janata Party,110020,1723,111743,51.45
8,Natabari,3,Rabindra Nath Ghosh,All India Trinamool Congress,87098,1205,88303,40.66
8,Natabari,4,Abdus Salam,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1178,8,1186,0.55
8,Natabari,5,Ekramul Hoque,United Socialist Party,500,5,505,0.23
8,Natabari,6,Dalendra Nath Ray,Amra Bangalee,1103,7,1110,0.51
8,Natabari,7,Sahidul Hossain,Independent,1338,3,1341,0.62
8,Natabari,8,NOTA,None of the Above,1127,19,1146,0.53
9,Tufanganj,1,Pranab Kumar Dey,All India Trinamool Congress,82546,759,83305,39.79
9,Tufanganj,2,Malati Rava Roy,Bharatiya Janata Party,112609,1894,114503,54.69
9,Tufanganj,3,Rabin Roy,Indian National Congress,5804,169,5973,2.85
9,Tufanganj,4,Jiban Kumar Saha,Amra Bangalee,422,1,423,0.2
9,Tufanganj,5,Bhola Saha,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),481,10,491,0.23
9,Tufanganj,6,Dhananjay Barman,Independent,541,11,552,0.26
9,Tufanganj,7,Prahallad Layek,Independent,600,1,601,0.29
9,Tufanganj,8,Sushil Chandra Das,Independent,1458,3,1461,0.7
9,Tufanganj,9,NOTA,None of the Above,2047,22,2069,0.99
10,Kumargram,1,KISHOR MINJ,Revolutionary Socialist Party,11100,153,11253,4.84
10,Kumargram,2,MANOJ KUMAR ORAON,Bharatiya Janata Party,110658,1316,111974,48.16
10,Kumargram,3,LEOS KUJUR (URAO),All India Trinamool Congress,100009,964,100973,43.43
10,Kumargram,4,KALAWATI CHIK BARAIK,Janata Dal  (United),1381,18,1399,0.6
10,Kumargram,5,Shailen Marandi,Bahujan Mukti Party,735,5,740,0.32
10,Kumargram,6,Shrilal Oron,Kamatapur People’s Party (United),1643,8,1651,0.71
10,Kumargram,7,Aron Murmu,Independent,1774,7,1781,0.77
10,Kumargram,8,NOTA,None of the Above,2706,12,2718,1.17
11,Kalchini,1,AVIJIT NARJINARY,Indian National Congress,5386,96,5482,2.8
11,Kalchini,2,ASHOK LAMA,National People's Party,794,9,803,0.41
11,Kalchini,3,PASSANG LAMA,All India Trinamool Congress,73896,632,74528,38.06
11,Kalchini,4,BISHAL LAMA,Bharatiya Janata Party,102247,857,103104,52.65
11,Kalchini,5,CHANCHAL NARJINARY,Lok Jan Shakti Party,1163,1,1164,0.59
11,Kalchini,6,MADAN KUMAR URAON,Janata Dal  (United),419,4,423,0.22
11,Kalchini,7,HAKIM MAHALI,Bahujan Mukti Party,475,4,479,0.24
11,Kalchini,8,PRAKASH KUJUR,Independent,1858,11,1869,0.95
11,Kalchini,9,BINAY NARJINARY,Independent,2416,9,2425,1.24
11,Kalchini,10,REKHA LAKRA (EKKA),Independent,2242,9,2251,1.15
11,Kalchini,11,SUKUMAR MINJ,Independent,907,3,910,0.46
11,Kalchini,12,NOTA,None of the Above,2370,7,2377,1.21
12,Alipurduars,1,DEBA PRASAD ROY,Indian National Congress,15203,448,15651,7.03
12,Alipurduars,2,SUMAN KANJILAL,Bharatiya Janata Party,105517,1816,107333,48.19
12,Alipurduars,3,SOURAV CHAKRABORTY (GHUTIS),All India Trinamool Congress,90183,1143,91326,41
12,Alipurduars,4,PIJUSH KANTI SARMA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1090,21,1111,0.5
12,Alipurduars,5,ABINASH DAS,Independent,267,3,270,0.12
12,Alipurduars,6,ASHIM ROY,Independent,677,19,696,0.31
12,Alipurduars,7,KUSHAL KUMAR ROY,Independent,613,7,620,0.28
12,Alipurduars,8,NIKHIL CHANDRA RAIBIR,Independent,2333,18,2351,1.06
12,Alipurduars,9,RINKU GHOSH,Independent,1384,9,1393,0.63
12,Alipurduars,10,NOTA,None of the Above,1950,31,1981,0.89
13,Falakata,1,KSHITISH CHANDRA RAY,Communist Party of India  (Marxist),10496,276,10772,4.89
13,Falakata,2,DIPAK BARMAN,Bharatiya Janata Party,101833,1160,102993,46.71
13,Falakata,3,SUBHASH CHANDRA ROY,All India Trinamool Congress,98181,822,99003,44.9
13,Falakata,4,TAPAN ADHIKARI,Samajwadi Jan Parishad,1367,10,1377,0.62
13,Falakata,5,TARANI ROY,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),608,5,613,0.28
13,Falakata,6,BIMAL ROY,Amra Bangalee,446,3,449,0.2
13,Falakata,7,DIPAK CHANDRA MANDAL (SANTOSH),Independent,1675,3,1678,0.76
13,Falakata,8,SWAPAN ROY,Independent,1639,6,1645,0.75
13,Falakata,9,NOTA,None of the Above,1964,6,1970,0.89
14,Madarihat,1,UTTAM BARUA,Bahujan Samaj Party,1687,9,1696,1.02
14,Madarihat,2,PANCHU ORAON,National People's Party,1261,11,1272,0.76
14,Madarihat,3,MANOJ TIGGA,Bharatiya Janata Party,89913,805,90718,54.35
14,Madarihat,4,RAJESH LAKRA,All India Trinamool Congress,60591,442,61033,36.56
14,Madarihat,5,SUBHASH LOHAR,Revolutionary Socialist Party,6983,89,7072,4.24
14,Madarihat,6,VIVEK PRADEEP TETE,Bhartiya Tribal Party,1536,4,1540,0.92
14,Madarihat,7,SUDHIST BARAIK,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),961,6,967,0.58
14,Madarihat,8,NOTA,None of the Above,2607,15,2622,1.57
15,Dhupguri,1,PRADIP KUMAR ROY,Communist Party of India  (Marxist),12856,251,13107,5.72
15,Dhupguri,2,BISHNU PADA RAY,Bharatiya Janata Party,103533,1155,104688,45.65
15,Dhupguri,3,BEDODYUTI ROY,Bahujan Samaj Party,2171,7,2178,0.95
15,Dhupguri,4,MITALI ROY,All India Trinamool Congress,99293,1040,100333,43.75
15,Dhupguri,5,DHIRANJAN ROY,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1604,9,1613,0.7
15,Dhupguri,6,SUKUMAR ROY,Kamatapur People’s Party (United),2144,11,2155,0.94
15,Dhupguri,7,SUJAN BARMAN,Independent,1090,6,1096,0.48
15,Dhupguri,8,HRISHIKESH ROY,Independent,2167,2,2169,0.95
15,Dhupguri,9,NOTA,None of the Above,1976,8,1984,0.87
16,Maynaguri,1,Kaushik Roy,Bharatiya Janata Party,113928,1378,115306,48.84
16,Maynaguri,2,Ganesh Mandal,Bahujan Samaj Party,1539,11,1550,0.66
16,Maynaguri,3,Naresh Chandra Roy,Revolutionary Socialist Party,5592,168,5760,2.44
16,Maynaguri,4,Manoj Roy,All India Trinamool Congress,102341,1054,103395,43.79
16,Maynaguri,5,Uday Shankar Adhikari,Communist Party of India  (Marxist-Leninist)  (Liberation),1546,9,1555,0.66
16,Maynaguri,6,Binay Sarkar,Amra Bangalee,737,3,740,0.31
16,Maynaguri,7,Biswanath Roy,Kamatapur People’s Party (United),2843,25,2868,1.21
16,Maynaguri,8,Shyamal Roy,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),737,8,745,0.32
16,Maynaguri,9,Bilash Sarkar,Independent,1075,4,1079,0.46
16,Maynaguri,10,NOTA,None of the Above,3072,23,3095,1.31
17,Jalpaiguri,1,DR. PRADIP KUMAR BARMA,All India Trinamool Congress,93648,2020,95668,42.34
17,Jalpaiguri,2,SUKHBILAS BARMA,Indian National Congress,23173,1055,24228,10.72
17,Jalpaiguri,3,SUBHASH KUMAR SARKAR,Bahujan Samaj Party,1590,19,1609,0.71
17,Jalpaiguri,4,SOUJIT SINGHA (PIKU),Bharatiya Janata Party,92373,2354,94727,41.93
17,Jalpaiguri,5,ISWAR BARAI,Amra Bangalee,999,12,1011,0.45
17,Jalpaiguri,6,PALENDRA NATH ROY,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),884,14,898,0.4
17,Jalpaiguri,7,PRAHLAD ROY,Independent,725,21,746,0.33
17,Jalpaiguri,8,RAKHI SARKAR,Independent,1537,19,1556,0.69
17,Jalpaiguri,9,HARIDAS BISWAS,Independent,949,13,962,0.43
17,Jalpaiguri,10,HAREKRISHNA SARKAR,Independent,1142,5,1147,0.51
17,Jalpaiguri,11,NOTA,None of the Above,3334,47,3381,1.5
18,Rajganj,1,KHAGESWAR ROY,All India Trinamool Congress,103587,1054,104641,48.5
18,Rajganj,2,RATAN KUMAR ROY,Communist Party of India  (Marxist),11897,211,12108,5.61
18,Rajganj,3,SANTI KISHOR BARARI,Bahujan Samaj Party,1498,12,1510,0.7
18,Rajganj,4,SUPEN ROY,Bharatiya Janata Party,87822,1046,88868,41.19
18,Rajganj,5,UDAY ROY,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1590,15,1605,0.74
18,Rajganj,6,TAPATI ROY (BARMAN),Kamatapur People’s Party (United),1851,9,1860,0.86
18,Rajganj,7,NIRODE CHANDRA ADHIKARY,Amra Bangalee,833,9,842,0.39
18,Rajganj,8,DIGBIJAY MANDAL,Independent,1137,9,1146,0.53
18,Rajganj,9,NOTA,None of the Above,3161,14,3175,1.47
19,Dabgram-Fulbari,1,Goutam Deb,All India Trinamool Congress,100844,651,101495,39.19
19,Dabgram-Fulbari,2,Dilip Singh,Communist Party of India  (Marxist),17747,251,17998,6.95
19,Dabgram-Fulbari,3,Radhakrishna Namadas,Bahujan Samaj Party,1391,4,1395,0.54
19,Dabgram-Fulbari,4,Sikha Chatterjee,Bharatiya Janata Party,128302,786,129088,49.85
19,Dabgram-Fulbari,5,Amitav Naskar,Republican Party of India (A),876,5,881,0.34
19,Dabgram-Fulbari,6,Maniul Islam,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),544,3,547,0.21
19,Dabgram-Fulbari,7,Shambhu Sutradhar,Amra Bangalee,646,4,650,0.25
19,Dabgram-Fulbari,8,Maheswar Barman,Independent,1388,3,1391,0.54
19,Dabgram-Fulbari,9,Rakhi Mandal,Independent,1087,6,1093,0.42
19,Dabgram-Fulbari,10,Subash Biswas,Independent,1047,5,1052,0.41
19,Dabgram-Fulbari,11,NOTA,None of the Above,3358,21,3379,1.3
20,Mal,1,BULU CHIK BARAIK,All India Trinamool Congress,98697,389,99086,46.46
20,Mal,2,MANU ORAON,Communist Party of India  (Marxist),10797,132,10929,5.12
20,Mal,3,MAHESH BAGEY,Bharatiya Janata Party,93106,515,93621,43.9
20,Mal,4,GITA ORAON,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),3000,8,3008,1.41
20,Mal,5,BABLU MAJHI,Independent,1907,5,1912,0.9
20,Mal,6,NOTA,None of the Above,4688,11,4699,2.2
21,Nagrakata,1,PUNA BHENGRA,Bharatiya Janata Party,94371,351,94722,49.55
21,Nagrakata,2,JOSEPH MUNDA,All India Trinamool Congress,70999,248,71247,37.27
21,Nagrakata,3,SUKBIR SUBBA,Indian National Congress,12378,64,12442,6.51
21,Nagrakata,4,BENAM ORAON,Progressive People's Party,2243,4,2247,1.18
21,Nagrakata,5,ASHAN TIRKEY,Independent,1770,4,1774,0.93
21,Nagrakata,6,ROBAT MUNDA,Independent,3280,3,3283,1.72
21,Nagrakata,7,NOTA,None of the Above,5448,6,5454,2.85
22,Kalimpong,1,DILIP PRADHAN,Indian National Congress,1632,83,1715,1.11
22,Kalimpong,2,PENJO GOMPU BHUTIA,National People's Party,1750,55,1805,1.17
22,Kalimpong,3,SUVA PRADHAN,Bharatiya Janata Party,53227,1109,54336,35.09
22,Kalimpong,4,UJJWAL RAI,Independent,1495,67,1562,1.01
22,Kalimpong,5,DR. R.B. BHUJEL,Independent,31479,377,31856,20.57
22,Kalimpong,6,BHUPENDRA LEPCHA,Independent,1463,40,1503,0.97
22,Kalimpong,7,RUDEN SADA LEPCHA,Independent,57344,862,58206,37.59
22,Kalimpong,8,SONGDEN LEPCHA,Independent,1688,32,1720,1.11
22,Kalimpong,9,NOTA,None of the Above,2142,18,2160,1.39
23,Darjeeling,1,GAUTAM RAJ RAI,Communist Party of India  (Marxist),1821,92,1913,1.13
23,Darjeeling,2,NEERAJ TAMANG ZIMBA,Bharatiya Janata Party,67161,1746,68907,40.88
23,Darjeeling,3,ANJANI SHARMA,Independent,1600,77,1677,0.99
23,Darjeeling,4,KESHAV RAJ SHARMA,Independent,46927,704,47631,28.26
23,Darjeeling,5,NIMA GYAMTSHO SHERPA,Independent,2042,46,2088,1.24
23,Darjeeling,6,PEMBA TSHERING,Independent,37804,436,38240,22.68
23,Darjeeling,7,BHARAT PRAKASH RAI,Independent,1286,41,1327,0.79
23,Darjeeling,8,MILAN THOKAR,Independent,1367,30,1397,0.83
23,Darjeeling,9,SURAJ GURUNG,Independent,2766,89,2855,1.69
23,Darjeeling,10,NOTA,None of the Above,2495,45,2540,1.51
24,Kurseong,1,Uttam Brahman,Communist Party of India  (Marxist),2494,51,2545,1.45
24,Kurseong,2,Bishnu Prasad Sharma (alias B.P. Bajgain),Bharatiya Janata Party,72153,1322,73475,41.86
24,Kurseong,3,Ugam Lama,Independent,2235,64,2299,1.31
24,Kurseong,4,Tshering Lama,Independent,57044,916,57960,33.02
24,Kurseong,5,Narbu Lama,Independent,32770,324,33094,18.85
24,Kurseong,6,Pranav Pradhan,Independent,1341,25,1366,0.78
24,Kurseong,7,Bikram Rai,Independent,1402,27,1429,0.81
24,Kurseong,8,Bhupendra Lepcha,Independent,935,25,960,0.55
24,Kurseong,9,NOTA,None of the Above,2372,45,2417,1.38
25,Matigara-Naxalbari,1,Anandamay Barman,Bharatiya Janata Party,138819,966,139785,58.1
25,Matigara-Naxalbari,2,Rajen Sundas,All India Trinamool Congress,68454,483,68937,28.65
25,Matigara-Naxalbari,3,Sankar Malakar,Indian National Congress,22865,195,23060,9.58
25,Matigara-Naxalbari,4,Sudip Mandal,Bahujan Samaj Party,1564,13,1577,0.66
25,Matigara-Naxalbari,5,Harish Chandra Barman,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1261,13,1274,0.53
25,Matigara-Naxalbari,6,Rakesh Mondal,Independent,2032,14,2046,0.85
25,Matigara-Naxalbari,7,NOTA,None of the Above,3888,24,3912,1.63
26,Siliguri,1,Asok Bhattacharya,Communist Party of India  (Marxist),28269,566,28835,16.14
26,Siliguri,2,Dr. Omprakash Mishra,All India Trinamool Congress,53153,631,53784,30.11
26,Siliguri,3,Kakali Majumdar (Roy),Bahujan Samaj Party,1241,14,1255,0.7
26,Siliguri,4,Sankar Ghosh,Bharatiya Janata Party,88580,790,89370,50.03
26,Siliguri,5,Chayan Guha,Amra Bangalee,592,2,594,0.33
26,Siliguri,6,Chhotan Saha,Republican Party of India (Athawale),301,5,306,0.17
26,Siliguri,7,Dipti Roy,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),368,11,379,0.21
26,Siliguri,8,Nintu Dutta,Republican Party of India (A),645,4,649,0.36
26,Siliguri,9,Bhushan Kumar Soni,Janata Dal  (United),443,4,447,0.25
26,Siliguri,10,Habul Ghosh,Independent,951,6,957,0.54
26,Siliguri,11,NOTA,None of the Above,2035,39,2074,1.16
27,Phansidewa,1,Karuna Ranjan Soren,Bahujan Samaj Party,2284,7,2291,1.1
27,Phansidewa,2,Chhotan Kisku,All India Trinamool Congress,77599,341,77940,37.55
27,Phansidewa,3,Durga Murmu,Bharatiya Janata Party,105123,528,105651,50.89
27,Phansidewa,4,Sunil Chandra Tirkey,Indian National Congress,12747,68,12815,6.17
27,Phansidewa,5,Amit Lakra,Bhartiya Tribal Party,1683,16,1699,0.82
27,Phansidewa,6,Bhola Tirki,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1827,5,1832,0.88
27,Phansidewa,7,Sumanti Ekka,Communist Party of India  (Marxist-Leninist)  (Liberation),2769,18,2787,1.34
27,Phansidewa,8,NOTA,None of the Above,2564,11,2575,1.24
28,Chopra,1,ANWARUL HAQUE,Communist Party of India  (Marxist),12188,91,12279,6.02
28,Chopra,2,MD. SHAHIN AKHTER,Bharatiya Janata Party,59604,414,60018,29.4
28,Chopra,3,HAMIDUL RAHAMAN,All India Trinamool Congress,123944,979,124923,61.2
28,Chopra,4,AJOY KUMAR SINHA,Amra Bangalee,3158,8,3166,1.55
28,Chopra,5,SUROJIT KISKU,Independent,2190,3,2193,1.07
28,Chopra,6,NOTA,None of the Above,1527,4,1531,0.75
29,Islampur,1,ABDUL KARIM CHOWDHARY,All India Trinamool Congress,99380,751,100131,58.91
29,Islampur,2,SADIQUL ISLAM,Indian National Congress,3405,56,3461,2.04
29,Islampur,3,SAUMYAROOP MANDAL,Bharatiya Janata Party,61909,782,62691,36.88
29,Islampur,4,BIRENDRA NATH SINHA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1142,10,1152,0.68
29,Islampur,5,MD. NAIYAR ALAM,Independent,563,0,563,0.33
29,Islampur,6,NOTA,None of the Above,1962,14,1976,1.16
30,Goalpokhar,1,MD. GHULAM RABBANI,All India Trinamool Congress,105083,566,105649,65.4
30,Goalpokhar,2,MD. GHULAM SARWAR,Bharatiya Janata Party,32029,106,32135,19.89
30,Goalpokhar,3,MASOOD MD. NASEEM AHSEN,Indian National Congress,19305,86,19391,12
30,Goalpokhar,4,SUNIL BISWAS,Bahujan Samaj Party,861,4,865,0.54
30,Goalpokhar,5,NABIN CHANDRA SINGHA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),378,2,380,0.24
30,Goalpokhar,6,RAGHU NATH SINGHA,Independent,405,0,405,0.25
30,Goalpokhar,7,SHAMBHU LAL ROY,Independent,693,1,694,0.43
30,Goalpokhar,8,NOTA,None of the Above,2014,2,2016,1.25
31,Chakulia,1,ALI IMRAN RAMZ,All India Forward Bloc,28521,183,28704,16.55
31,Chakulia,2,AZAD MINHAJUL ARFIN,All India Trinamool Congress,85922,389,86311,49.78
31,Chakulia,3,GOUTAM PAUL,Bahujan Samaj Party,2720,5,2725,1.57
31,Chakulia,4,SACHIN PRASAD,Bharatiya Janata Party,52170,304,52474,30.26
31,Chakulia,5,KAMKSHYA SARKAR,Janata Dal  (United),950,4,954,0.55
31,Chakulia,6,MAZHAR IMAM,Independent,1046,0,1046,0.6
31,Chakulia,7,NOTA,None of the Above,1183,3,1186,0.68
32,Karandighi,1,GOUTAM PAUL,All India Trinamool Congress,115956,638,116594,54.7
32,Karandighi,2,MD. HAFIZUL IQBAL,All India Forward Bloc,9077,69,9146,4.29
32,Karandighi,3,SUBHAS CHANDRA SINHA    S/O: HARANARAYAN SINHA,Bharatiya Janata Party,79417,551,79968,37.52
32,Karandighi,4,HARUN RASHID,Bahujan Samaj Party,1128,11,1139,0.53
32,Karandighi,5,BISHWAJIT SINHA,Amra Bangalee,266,5,271,0.13
32,Karandighi,6,SHANTILAL SINGHA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),201,6,207,0.1
32,Karandighi,7,SANTHAPAN HASDAK,Bahujan Mukti Party,229,2,231,0.11
32,Karandighi,8,ABDULLAH,Independent,631,1,632,0.3
32,Karandighi,9,DINESH CHANDRA SINGHA,Independent,536,1,537,0.25
32,Karandighi,10,BENOY KUMAR DAS,Independent,1266,3,1269,0.6
32,Karandighi,11,SUBHASH CHANDRA SINHA  S/O: BUYASU LAL SINGHA,Independent,690,3,693,0.33
32,Karandighi,12,NOTA,None of the Above,2443,6,2449,1.15
33,Hemtabad,1,CHANDIMA ROY,Bharatiya Janata Party,88481,729,89210,39.95
33,Hemtabad,2,BINAY KUMAR ROY,Bahujan Samaj Party,1406,5,1411,0.63
33,Hemtabad,3,BHUPEN BARMAN,Communist Party of India  (Marxist),9297,156,9453,4.23
33,Hemtabad,4,SATYAJIT BARMAN,All India Trinamool Congress,115346,1079,116425,52.14
33,Hemtabad,5,JYOTIRMAY BARMAN,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1510,8,1518,0.68
33,Hemtabad,6,MANINDRA BARMAN,Amra Bangalee,1580,1,1581,0.71
33,Hemtabad,7,DIPU BARMAN,Independent,699,2,701,0.31
33,Hemtabad,8,SANKAR BARMAN,Independent,840,2,842,0.38
33,Hemtabad,9,NOTA,None of the Above,2154,6,2160,0.97
34,Kaliaganj,1,TAPAN DEB SINGHA,All India Trinamool Congress,93723,1225,94948,39.61
34,Kaliaganj,2,PRAVASH SARKAR,Indian National Congress,16451,319,16770,7
34,Kaliaganj,3,SOUMEN ROY,Bharatiya Janata Party,115577,1191,116768,48.71
34,Kaliaganj,4,GOPAL CHUNARY,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1070,3,1073,0.45
34,Kaliaganj,5,NAMALA KANTA SARKAR,Amra Bangalee,385,2,387,0.16
34,Kaliaganj,6,ALEN SARKAR,Independent,407,1,408,0.17
34,Kaliaganj,7,Dilip Chandra Ray,Independent,544,8,552,0.23
34,Kaliaganj,8,SHYAMA SARKAR,Independent,776,5,781,0.33
34,Kaliaganj,9,SUDHIR SARKAR,Independent,3978,26,4004,1.67
34,Kaliaganj,10,SURESH BARMAN,Independent,1025,3,1028,0.43
34,Kaliaganj,11,NOTA,None of the Above,2993,14,3007,1.25
35,Raiganj,1,AGARWAL KANAIA LAL,All India Trinamool Congress,58007,1020,59027,36.58
35,Raiganj,2,KRISHNA KALYANI,Bharatiya Janata Party,78308,1467,79775,49.44
35,Raiganj,3,MOHIT SENGUPTA,Indian National Congress,16524,674,17198,10.66
35,Raiganj,4,GOUTAM BISWAS,Amra Bangalee,204,4,208,0.13
35,Raiganj,5,BAHAMONI HANSDA,Bahujan Mukti Party,128,5,133,0.08
35,Raiganj,6,BHABATOSH LAHIRI,Janata Dal  (United),73,0,73,0.05
35,Raiganj,7,SANATAN MAJUMDAR,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),133,0,133,0.08
35,Raiganj,8,JYOTI BARMAN,Independent,98,1,99,0.06
